正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1959,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,4533.0,2332.7804,1038161.793,2197.8805,757858108.8748
108.0,1959,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,1940.7,2623.6534,1014538.5002,0.0,740613105.179
108.0,1959,15.0,106.4353,8月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,667.0,667.0,208955.092,0.0,152537217.16
108.0,1959,15.0,106.4353,9月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,449.7,449.7,142746.945,0.0,104205269.8219
108.0,1959,15.0,106.4353,10月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,425.3,425.3,135227.8973,0.0,98716365.0065
108.0,1959,15.0,106.4353,11月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,846.6,846.6,262806.0004,0.0,191848380.2695
108.0,1959,15.0,106.4353,12月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,811.7,811.7,252342.6072,0.0,184210103.2616
108.0,1959,15.0,106.4353,1月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,593.3,593.3,186609.9964,0.0,136225297.3501
108.0,1959,15.0,106.4353,2月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,634.1,634.1,199002.9637,0.0,145272163.5229
108.0,1959,15.0,106.4353,3月,低于防破坏线-保证出力,321.7512,87.6,1156.472,108.0,1501.0,652.3648,276737.775,13.9144,202018575.75
108.0,1960,15.0,106.4353,4月,优化区-枚举月末库容,1156.472,108.0,760.1904,100.9941,1565.3,1961.5816,865829.0334,0.0,632055194.3943
108.0,1960,15.0,106.4353,5月,汛限线附近-满发,760.1904,100.9941,1004.7046,105.3169,3027.3,2435.8781,1037004.2664,344.5686,757013114.5024
108.0,1960,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,3157.0,2332.7804,1038161.793,821.8805,757858108.8748
108.0,1960,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,3595.0,2332.7804,1038161.793,1259.8805,757858108.8748
108.0,1960,15.0,106.4353,8月,低于防破坏线-保证出力,1004.7046,105.3169,1004.7046,105.3169,824.7,580.4749,270220.5137,241.8859,197260974.9768
108.0,1960,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,1139.609,107.7019,402.1,267.1956,128986.0606,0.0,94159824.2278
108.0,1960,15.0,106.4353,10月,低于防破坏线-保证出力,1139.609,107.7019,895.0948,103.3791,347.0,592.6515,276737.775,0.0,202018575.75
108.0,1960,15.0,106.4353,11月,低于防破坏线-保证出力,895.0948,103.3791,869.8002,102.9319,594.3,620.1354,276737.775,0.0,202018575.75
108.0,1960,15.0,106.4353,12月,低于防破坏线-保证出力,869.8002,102.9319,659.0121,98.6581,432.3,646.8578,276737.775,0.0,202018575.75
108.0,1960,15.0,106.4353,1月,低于防破坏线-保证出力,659.0121,98.6581,321.7512,87.6,381.7,718.9609,261410.3653,0.0,190829566.6938
108.0,1960,15.0,106.4353,2月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,634.2,634.2,199033.2691,0.0,145294286.4576
108.0,1960,15.0,106.4353,3月,低于防破坏线-保证出力,321.7512,87.6,1156.472,108.0,2153.3,652.3648,276737.775,666.2144,202018575.75
108.0,1961,15.0,106.4353,4月,优化区-枚举月末库容,1156.472,108.0,1004.7046,105.3169,4192.3,4344.0674,1064353.0,0.0,776977690.0
108.0,1961,15.0,106.4353,5月,汛限线附近-满发,1004.7046,105.3169,338.6142,88.4566,2079.0,2744.8945,1064353.0,0.0,776977690.0
108.0,1961,15.0,106.4353,6月,低于防破坏线-保证出力,338.6142,88.4566,1004.7046,105.3169,2612.0,650.3703,267340.4486,1293.2003,195158527.5097
108.0,1961,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,643.7,1326.6534,530051.1343,0.0,386937328.0718
108.0,1961,15.0,106.4353,8月,低于防破坏线-保证出力,321.7512,87.6,549.4023,95.3858,1022.3,794.1433,276737.775,0.0,202018575.75
108.0,1961,15.0,106.4353,9月,低于防破坏线-保证出力,549.4023,95.3858,321.7512,87.6,536.3,763.9511,266559.7065,0.0,194588585.7271
